Study,IG_n,IG_Mean_post,IG_SD_post,CG_n,CG_Mean_post,CG_SD_post,CMJ_Arm,Hedges_g,SE,Weeks
Ramirez-Campillo 2015,54,35.01,6.10,55,32.97,6.40,Arm-unclear,0.5207,0.1935,6
Ramirez-Campillo 2015,12,36.91,2.00,14,29.36,7.60,CMJA,1.1622,0.4137,6
Ramirez-Campillo 2015,8,32.53,8.70,8,29.96,9.40,CMJA,0.5216,0.4816,6
Palma-Munoz 2018,7,32.40,9.10,7,28.50,9.10,Strict,0.4383,0.5072,6
Ramirez-Campillo 2014,17,39.30,7.00,15,36.30,8.10,CMJA,0.1775,0.3460,6
Van Roie 2020,13,15.60,2.50,14,14.10,2.20,Arm-unclear,0.6929,0.3852,12
Chang 2025,11,30.00,5.00,12,28.00,4.00,Strict,0.2673,0.4043,4
Asadi 2017,8,50.50,2.20,8,47.20,2.10,CMJA,3.5582,0.7868,8
Blazevich 2003,7,41.00,11.00,8,41.00,11.00,Strict,0.0944,0.4874,5
Byrne 2010,6,39.00,2.00,7,33.00,3.00,Strict,1.5229,0.5975,8
Sedano Campo 2009,10,29.30,1.00,10,25.90,0.90,Strict,5.1989,0.9269,12
Chelly 2010,12,41.00,3.00,11,39.00,2.00,CMJA,0.4837,0.4086,8
Idrizovic 2018,13,49.50,7.00,17,45.10,5.10,CMJA,0.8680,0.3756,12
Jlid 2019,14,33.30,2.40,14,30.60,2.50,Strict,1.5494,0.4213,8
Jlid 2020,14,32.19,4.69,13,30.64,3.34,Strict,0.2833,0.3755,6
Khlifa 2010,9,47.20,3.21,9,46.02,4.59,Strict,0.7182,0.4646,10
Kijowski 2015,9,49.00,6.00,10,44.00,5.00,Arm-unclear,1.1351,0.4760,4
Laurent 2020,11,38.40,7.90,10,28.20,7.50,Strict,0.8276,0.4385,10
Michailidis 2018,17,22.19,0.80,14,21.56,0.80,Strict,1.4773,0.3984,6
Negra 2016,11,28.17,5.93,11,21.99,1.88,Arm-unclear,1.1774,0.4470,12
Potdevin 2011,12,32.45,4.20,11,25.88,3.82,Strict,1.3209,0.4470,6
Ramirez-Campillo 2018,12,42.00,4.90,12,40.00,4.30,Strict,1.1487,0.4276,7
Rensing 2015,12,40.20,5.35,9,37.58,5.35,Arm-unclear,0.5189,0.4308,6
Rubley 2011,10,47.00,8.10,6,36.80,6.20,VJ-arm-swing,1.5292,0.5581,14
Santos 2011,14,34.52,5.00,10,28.40,4.00,Strict,1.7267,0.4711,10
Toumi 2004,12,42.50,1.30,6,34.70,2.10,Strict,2.9433,0.6837,8
Vescovi 2008,10,33.40,3.50,8,31.00,1.00,Strict,0.5450,0.4608,6
Yanci 2017,12,35.70,5.30,12,34.00,4.50,Strict,0.2325,0.3956,6
Zubac 2017,10,35.00,3.20,10,31.50,3.00,Arm-unclear,1.5251,0.4915,8
