Study,Country,Sport,Sex,Age_Category,Level,n_IG,n_CG,n_Total,Weeks,Sessions_wk,Plyo_Type,CMJ_Arm,CMJ_Device,Control,CMJ_Pre_IG,CMJ_Post_IG,CMJ_Pre_CG,CMJ_Post_CG,Hedges_g,SE,CI_95
Ramirez-Campillo (2015),Chile,Soccer,Male,Adolescent,Amateur,54,55,109,6,2,Pure,Arm-unclear,Globus contact mat,Active,32.6+-6.1,35.0+-6.1,33.1+-6.4,33.0+-6.4,0.521,0.193,"[0.142, 0.900]"
Ramirez-Campillo (2015),Chile,Soccer,Male,Pre-pubertal,Sub-elite,12,14,26,6,2,Pure,CMJA,Globus Tester,Active,31.1+-2.0,36.9+-2.0,28.9+-7.6,29.4+-7.6,1.162,0.414,"[0.351, 1.973]"
Ramirez-Campillo (2015),Chile,Soccer,Male,Pubertal,Club,8,8,16,6,2,Pure,CMJA,Ergojump,Active,27.9+-8.7,32.5+-8.7,29.2+-9.4,30.0+-9.4,0.522,0.482,"[-0.422, 1.466]"
Palma-Munoz (2018),Chile,Basketball,Male,Adolescent,Regional,7,7,14,6,2,Pure,Strict,Ergojump,Active,28.4+-9.1,32.4+-9.1,27.8+-9.1,28.5+-9.1,0.438,0.507,"[-0.556, 1.432]"
Ramirez-Campillo (2014),Chile/Spain,Middle-distance,Mixed,Adult,National/Intl,17,15,32,6,2,Pure,CMJA,Globus Tester,Active,36.1+-5.6,39.3+-7.0,34.1+-7.1,36.3+-8.1,0.178,0.346,"[-0.501, 0.856]"
Van Roie (2020),Belgium,Older adults,Male,Older,Community,13,14,27,12,3,Pure,Arm-unclear,Sledge+force plate,Active,14.1+-2.5,15.6+-2.5,13.9+-2.2,14.1+-2.2,0.693,0.385,"[-0.062, 1.448]"
Chang (2025),Taiwan,Rowing,Male,Young adult,Regional/National,11,12,23,4,3,Pure,Strict,Kistler force plate,Active,28.0+-4.0,30.0+-5.0,27.0+-5.0,28.0+-4.0,0.267,0.404,"[-0.525, 1.060]"
Asadi (2017),Iran/Chile,Basketball,Male,Young adult,National,8,8,16,8,3,Pure,CMJA,Vertec,Active,44.2+-2.1,50.5+-2.2,47.1+-2.1,47.2+-2.1,3.558,0.787,"[2.016, 5.100]"
Blazevich (2003),UK/NZ/AU,Multi-sport,Mixed,Adult,Competitive,7,8,15,5,3,Pure,Strict,Linear displacement,Active,38.0+-16.0,41.0+-11.0,39.0+-11.0,41.0+-11.0,0.094,0.487,"[-0.861, 1.050]"
Byrne (2010),Ireland,Multi-sport,Male,Young adult,University,6,7,13,8,2,Pure,Strict,Power Timer Clock,Active,35.0+-5.0,39.0+-2.0,34.0+-2.0,33.0+-3.0,1.523,0.598,"[0.352, 2.694]"
Sedano Campo (2009),Spain/Belgium,Soccer,Female,Young adult,Professional,10,10,20,12,3,Pure,Strict,Sport JUMP System,Active,25.6+-1.0,29.3+-1.0,26.2+-0.9,25.9+-0.9,5.199,0.927,"[3.382, 7.016]"
Chelly (2010),Tunisia,Soccer,Male,Young adult,Regional,12,11,23,8,2,Pure,CMJA,Kistler Quattro Jump,Active,40.0+-3.0,41.0+-3.0,39.0+-2.0,39.0+-2.0,0.484,0.409,"[-0.317, 1.285]"
Idrizovic (2018),Montenegro et al.,Volleyball,Female,Pubertal,National,13,17,30,12,2,Pure,CMJA,OptoJump,Active,42.2+-6.0,49.5+-7.0,41.7+-4.3,45.1+-5.1,0.868,0.376,"[0.132, 1.604]"
Jlid (2019),Tunisia/France/Qatar,Soccer,Male,Pre-pubertal,Academy,14,14,28,8,2,Pure,Strict,OptoJump,Active,30.3+-2.1,33.3+-2.4,30.5+-2.3,30.6+-2.5,1.549,0.421,"[0.724, 2.375]"
Jlid (2020),Tunisia,Soccer,Male,Young adult,3rd Division,14,13,27,6,2,Pure,Strict,OptoJump,Active,30.4+-4.5,32.2+-4.7,29.8+-3.5,30.6+-3.3,0.283,0.375,"[-0.453, 1.019]"
Khlifa (2010),Tunisia/Italy,Basketball,Male,Adult,Professional,9,9,18,10,2.5,Pure,Strict,OptoJump,Active,44.1+-3.7,47.2+-3.2,45.2+-3.8,46.0+-4.6,0.718,0.465,"[-0.193, 1.629]"
Kijowski (2015),USA,Recreational,Male,Young adult,Recreational,9,10,19,4,2,Mixed,Arm-unclear,AMTI force plate,No-training,46.0+-8.0,49.0+-6.0,47.0+-6.0,44.0+-5.0,1.135,0.476,"[0.202, 2.068]"
Laurent (2020),Belgium,Phys.Ed. students,Mixed,Young adult,Active,11,10,21,10,2,Pure,Strict,Custom force plate,No-training,32.9+-7.6,38.4+-7.9,27.8+-7.5,28.2+-7.5,0.828,0.438,"[-0.032, 1.687]"
Michailidis (2018),Greece,Soccer,Male,Pre-pubertal,Academy,17,14,31,6,3,Plyo+COD,Strict,Myotest,Active,21.7+-0.8,22.2+-0.8,22.0+-0.8,21.6+-0.8,1.477,0.398,"[0.696, 2.258]"
Negra (2016),Tunisia/Austria,Soccer,Male,Pre-pubertal,Elite youth,11,11,22,12,2,Pure,Arm-unclear,OptoJump,Active,22.9+-6.1,28.2+-5.9,21.1+-3.0,22.0+-1.9,1.177,0.447,"[0.301, 2.053]"
Potdevin (2011),France,Swimming,Mixed,Pubertal,Competitive,12,11,23,6,2,Pure,Strict,Ergojump,Active,28.9+-4.8,32.5+-4.2,27.0+-4.5,25.9+-3.8,1.321,0.447,"[0.445, 2.197]"
Ramirez-Campillo (2018),Chile,Soccer,Male,Young adult,National youth,12,12,24,7,2,Pure,Strict,ErgoJump,Active,37.9+-5.1,42.0+-4.9,40.2+-4.3,40.0+-4.3,1.149,0.428,"[0.311, 1.987]"
Rensing (2015),Germany,Handball,Male,Adult,State league,12,9,21,6,1,Pure,Arm-unclear,Myotest,Active,37.6+-5.3,40.2+-5.3,37.2+-5.3,37.6+-5.3,0.519,0.431,"[-0.326, 1.363]"
Rubley (2011),USA,Soccer,Female,Pubertal,Club,10,6,16,14,1,Pure,VJ-arm-swing,Vertec,Active,39.6+-8.2,47.0+-8.1,39.4+-8.3,36.8+-6.2,1.529,0.558,"[0.435, 2.623]"
Santos (2011),Portugal,Basketball,Male,Pubertal,Club youth,14,10,24,10,2,Pure,Strict,Globus Ergo Tester,Active,30.3+-4.3,34.5+-5.0,30.8+-5.1,28.4+-4.0,1.727,0.471,"[0.803, 2.650]"
Toumi (2004),France/USA,Sedentary,Male,Young adult,Untrained,12,6,18,8,4,Mixed,Strict,Kistler force plate,No-training,37.3+-1.9,42.5+-1.3,33.9+-1.9,34.7+-2.1,2.943,0.684,"[1.603, 4.283]"
Vescovi (2008),USA,Basketball,Female,Young adult,Recreational,10,8,18,6,3,Pure,Strict,Kistler Quattro Jump,No-training,32.4+-3.5,33.4+-3.5,31.2+-1.0,31.0+-1.0,0.545,0.461,"[-0.358, 1.448]"
Yanci (2017),Spain,Futsal,Male,Young adult,Amateur,12,12,24,6,1,Pure,Strict,Optojump,Active,36.0+-4.8,35.7+-5.3,35.2+-4.6,34.0+-4.5,0.232,0.396,"[-0.543, 1.008]"
Zubac (2017),Croatia/Slovenia,Mixed,Mixed,Young adult,Recreational active,10,10,20,8,3,Pure,Arm-unclear,AMTI force plate HE600X600,No-training,31.2+-3.0,35.0+-3.2,31.5+-3.1,31.5+-3.0,1.525,0.492,"[0.562, 2.488]"
