"Study","Cooks_D","Studentized_Residual","Weight_pct"
"Palma-Munoz 2018",1e-04,-0.031,6.6
"Chang 2025",0.0215,-0.525,6.8
"Blazevich 2003",0.0382,-0.716,6.7
"Byrne 2010",0.0222,0.559,6.4
"Sedano Campo 2009",0.7441,5.173,6.8
"Jlid 2019",1e-04,-0.032,6.9
"Jlid 2020",0.0411,-0.736,6.8
"Khlifa 2010",0.0218,-0.539,6.6
"Laurent 2020",0.0165,-0.47,6.5
"Potdevin 2011",0.0024,-0.174,6.5
"Ramirez-Campillo 2018",0.0064,-0.283,6.8
"Toumi 2004",0.1606,1.6,6.5
"Santos 2011",4e-04,0.077,6.7
"Vescovi 2008",0.0325,-0.652,6.8
"Yanci 2017",0.0576,-0.881,6.8
